id;dia da semana;tempo;membro/casual
FFFFB0530588F5A8;terca-feira;00:08:52;membro
FFFEAA722F2E6AB5;domingo;00:24:42;membro
FFFE4BC2042482F7;domingo;00:23:12;membro
FFFE38086F878E8D;quinta-feira;00:13:23;casual
FFFE083CE6D14E09;domingo;00:06:25;membro
FFFDA0C732D6DF98;segunda-feira;00:12:56;membro
FFFCF2B0797727FD;terca-feira;00:05:36;membro
FFFBD9A87DB1E1DE;sabado;00:11:22;membro
FFFB961E5E297995;sabado;00:18:28;membro
FFFB76919F4FE38F;terca-feira;00:28:52;membro
FFFB3920B4A0DD55;sexta-feira;00:09:45;casual
FFF877BF9899B8EF;segunda-feira;00:16:04;membro
FFF8399E7231660A;sexta-feira;01:58:53;casual
FFF7382CCCD06EED;segunda-feira;00:35:58;casual
FFF73313CA91057F;terca-feira;00:31:15;membro
FFF6F8E1A70CF837;quarta-feira;00:19:56;membro
FFF6C24D2DD35240;domingo;00:40:33;membro
FFF6BF070DA733CA;segunda-feira;00:15:27;casual
FFF6143CB0DB5928;sexta-feira;00:34:13;casual
FFF5EADCA0612CEE;sabado;00:03:33;casual
FFF56E3187D1DCD4;sabado;00:09:28;membro
FFF4FA6EE933EF8B;domingo;01:01:53;casual
FFF4E5F5C6896DB7;sexta-feira;00:07:01;membro
FFF4DAF4FE5BDD9C;segunda-feira;00:31:06;membro
FFF47FF9353348AE;quarta-feira;00:05:34;membro
FFF4598BD2CEC03A;quinta-feira;00:22:14;membro
FFF456C93A043532;domingo;00:32:04;casual
FFF3BA77C2A0ED28;domingo;00:05:31;membro
FFF35B5153DFB7ED;segunda-feira;00:22:42;casual
FFF2C92B42C69BA1;segunda-feira;00:03:47;membro
FFF0037CC08CA40D;segunda-feira;00:10:48;membro
FFEFE0FCAA1ABC42;terca-feira;00:07:58;casual
FFEF635F70A27391;quarta-feira;00:08:45;membro
FFEECAAFE8A57BAC;domingo;01:46:10;casual
FFEE8AE5649ADA2B;segunda-feira;00:02:31;membro
FFEE3186499A1930;sexta-feira;00:25:08;membro
FFED7B5CEEB1C808;quarta-feira;00:40:20;membro
FFEA9A7AAF583725;sabado;00:35:05;membro
FFE79EC6F50D4684;sexta-feira;00:06:35;membro
FFE77EDBBF55D4EB;domingo;00:05:43;membro
FFE4DE7A3976C476;segunda-feira;00:04:22;membro
FFE4C509761B66B8;sexta-feira;00:02:05;membro
