id;dia da semana;tempo;membro/casual
FFFFB121F7FD948C;sabado;00:12:53;casual
FFFE5E61D0490EAE;sabado;00:21:40;membro
FFFDDA06A54B9A87;domingo;00:08:48;casual
FFFCAE589D4F0AAA;terca-feira;00:09:19;membro
FFFC40F1933DFEDA;domingo;00:06:21;membro
FFF96DBDE38F63A1;terca-feira;00:04:18;membro
FFF6D0875B25D437;terca-feira;00:22:22;membro
FFF54E7CD7AF7036;sabado;00:09:47;membro
FFF459231B47BF25;sabado;00:06:15;membro
FFEED0C502F0DC70;terca-feira;00:02:06;membro
FFEE1E84C57A527D;quarta-feira;00:04:43;membro
FFED6854E5464856;quinta-feira;00:07:55;membro
FFED30C9A34714FF;domingo;00:21:50;membro
FFEB5726A8501348;domingo;00:20:33;membro
FFEADE6AEB43D4ED;sexta-feira;00:15:51;membro
FFEACA2119FB65FB;domingo;00:13:32;membro
FFEA634C41CC91BA;quarta-feira;00:02:01;membro
FFE88E768D73F391;sexta-feira;00:33:31;membro
FFE5629E89C70A4F;quarta-feira;00:06:25;membro
FFE29E50836133D0;terca-feira;00:06:14;membro
FFE0C763438F1355;domingo;00:02:58;membro
FFDFE56DA854324F;sabado;00:21:57;casual
FFDF8A8A59BE316E;segunda-feira;00:04:57;membro
FFDF764AA426800D;sexta-feira;00:06:00;membro
FFDE87BEB4B3CAA9;sabado;00:30:58;casual
FFDDFC7391A5FB40;sabado;00:20:31;casual
FFDDAAE444AEC46D;quarta-feira;00:26:14;membro
FFD83D2F914212D6;sexta-feira;00:14:15;casual
FFD83996AC5EE067;quarta-feira;00:06:42;membro
FFD7E1912E071F05;terca-feira;00:07:26;membro
FFD5FAD9196F6F12;quinta-feira;00:19:22;casual
FFD4F82915AA8E83;sexta-feira;00:21:59;membro
FFD413A1C2F4F822;quarta-feira;00:36:09;membro
FFD305EA1C405555;segunda-feira;00:10:05;membro
FFD154DD322ED938;sabado;00:21:11;membro
FFD08C7B4CEAD5E7;sexta-feira;00:16:39;membro
FFD083748C6EF563;terca-feira;00:04:01;membro
FFCEE2FEEAC8B1F9;quinta-feira;00:04:58;membro
FFCCDBCCABECC916;quinta-feira;00:04:54;membro
FFCCCCC0ACB7126E;segunda-feira;00:25:09;membro
FFC8DBD3DD06453D;sexta-feira;02:22:56;membro
FFC76151A5FCF249;sabado;00:09:17;casual
FFC6B3DB68A50BD5;sabado;00:12:10;membro
FFC5C152E6FDED69;terca-feira;00:44:45;membro
FFC51EAA3B4353F3;quarta-feira;00:08:58;membro
FFC36BA6ABADFA38;sexta-feira;00:22:07;casual
FFC33A3083A1600B;quinta-feira;00:18:55;casual
FFC2FC1E6E3E147B;quinta-feira;00:07:39;membro
FFC18B72A922958D;segunda-feira;00:09:41;membro
FFBF36745DE39EF6;sabado;00:06:06;membro
FFBEA7FCBAD8B030;segunda-feira;00:09:47;membro
FFBCD10076F7C9F1;sexta-feira;00:03:45;membro
FFBCB334F60331AF;sexta-feira;00:06:50;membro
FFBC2422B0FE410C;quinta-feira;00:08:59;membro
FFBBA3FF09869F90;sexta-feira;00:14:03;membro
FFBAF0A8A4832DB3;sabado;00:49:00;membro
FFBA32BCDDE40A41;terca-feira;00:31:47;membro
FFB4D59E260079A5;domingo;00:08:18;membro
FFB1CEC326067782;sabado;00:29:41;membro
FFB1A9906243C965;quinta-feira;00:20:51;membro
FFB0934D40CEFFCA;domingo;00:08:32;membro
FFB02BA557D57E2D;terca-feira;00:19:16;membro
FFAF16431D161E50;sabado;00:31:03;membro
FFAB6EAF1C0C14CB;quarta-feira;00:13:59;membro
FFAA711648B8E361;sabado;00:58:52;casual
FFA8D1D665F45DD3;segunda-feira;00:07:13;membro
FFA8BA3DFC87FB00;domingo;00:36:45;membro
FFA805267374FA2D;domingo;00:22:18;membro
FFA7EEE2AA26C9F5;domingo;00:17:09;membro
FFA7A1391FEE89BE;terca-feira;00:10:38;membro
FFA5DD6779B662A4;domingo;00:03:47;membro
FFA34BEE3888E245;sexta-feira;00:12:26;casual
FFA33EE194DE6E3B;quinta-feira;00:05:06;membro
FFA133A5A8A0EC09;quinta-feira;00:13:06;membro
FF9FBAF3EEA7F04B;quinta-feira;00:06:51;membro
FF9C9E472E7C8F58;sabado;00:10:35;membro
FF99DF4829804A76;segunda-feira;00:33:24;membro
FF988EBACF2C810E;quarta-feira;00:04:30;membro
FF97FFF09FCC6CBB;sabado;00:02:58;membro
FF977EC01DDBCF4F;sabado;00:08:38;membro
FF933F5A4218BEDA;segunda-feira;00:15:30;membro
FF92EB32CF86B4E0;quinta-feira;00:01:45;membro
FF92C2D3D17BE523;terca-feira;00:16:52;membro
FF925E1D32D433F8;segunda-feira;00:11:42;membro
FF91579012D3EB38;sexta-feira;00:07:21;casual
FF9029D5B05E45B4;quarta-feira;00:12:56;membro
FF8F9D2C70CEE1AF;domingo;00:11:08;membro
FF8EBF1586641023;sabado;00:21:46;casual
FF8D75AA7FBDF573;sabado;00:18:24;casual
FF8D73D1A2E88C64;quarta-feira;00:19:50;membro
FF8C6029D433E4C7;quinta-feira;00:06:13;membro
FF8BE3BF98BFCCE7;terca-feira;00:23:37;membro
FF8A9CC176C7998A;domingo;00:03:36;membro
FF8A16B71C279F5F;quarta-feira;00:08:30;membro
FF89B363383D21E4;sexta-feira;00:11:26;membro
FF8796B3E48C3D8A;domingo;00:22:52;casual
FF8659EC46BF5C53;sabado;00:21:37;membro
